gc_codigo,gc_id,os_codigo,nf_referencia,descricao,cliente,recipient_document,valor,data_competencia,data_emissao,data_vencimento,data_liquidacao,liquidado,status,forma_pagamento,forma_pagamento_gc_id,plano_contas,plano_contas_gc_id,centro_custo,centro_custo_codigo,origem,last_synced_at,observacao,registro_status
"30666","519593016","8184","253 PP","Ordem de serviço de nº 8184 - NF 253 PP","BENDITO BISTRO LTDA","","500.00","2025-12-26","2026-03-09","2026-01-27","2026-01-27","true","pago","BOLETO BANCÁRIO PP","5615450","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:27.849+00","","ENCONTRADO"
"30785","519596014","8185","252 PP","Ordem de serviço de nº 8185 - NF 252 PP","BENDITO BISTRO LTDA","","1250.00","2026-01-13","2026-03-09","2026-01-27","2026-01-27","true","pago","BOLETO BANCÁRIO PP","5615450","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:27.849+00","","ENCONTRADO"
"30787","520100438","8185","252 PP","Ordem de serviço de nº 8185 - NF 252 PP","BENDITO BISTRO LTDA","","1276.50","2026-01-13","2026-03-09","2026-02-09","2026-02-10","true","pago","BOLETO BANCÁRIO PP","5615450","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:28.694+00","","ENCONTRADO"
"31230","520440307","8189","2879","Ordem de serviço de nº 8189 - NF 2879","CONSTRUTORA TENDA SA","71476527008110","492.80","2025-12-23","2026-03-07","2026-03-23","","false","pendente","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","","","gc_os","2026-03-11 14:01:07.934+00","","ENCONTRADO"
"33222","521333823","8194","2724 CIGAM","Ordem de serviço de nº 8194 - NF 2724 CIGAM","SODEXO DO BRASIL COMERCIAL S.A.  SSA ITABERAI","49930514403256","1513.08","2025-12-23","2026-03-07","2026-03-13","","false","pendente","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 14:01:07.61+00","","ENCONTRADO"
"33453","522569190","8202","2717 CIGAM","Ordem de serviço de nº 8202 - NF 2717 CIGAM","ECOLAB QUIMICA LTDA","","8682.22","2026-01-20","2026-03-09","2026-02-09","2026-02-09","true","pago","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:28.243+00","","ENCONTRADO"
"33532","521905336","8229","2731 CIGAM","Ordem de serviço de nº 8229 - NF 2731 CIGAM","SODEXO DO BRASIL COMERCIAL SAVOY","","347.04","2026-01-21","2026-03-09","2026-03-13","2026-02-06","true","pago","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:28.243+00","","ENCONTRADO"
"33240","520441236","8289","","Ordem de serviço de nº 8289","CONSTRUTORA TENDA SA","","1052.29","2026-01-16","2026-03-09","2026-02-20","2026-02-20","true","pago","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:28.694+00","","ENCONTRADO"
"33575","523008285","8303","2703 CIGAM","Ordem de serviço de nº 8303 - NF 2703 CIGAM","CONSTRUTORA TENDA SA","","889.36","2025-12-08","2026-03-09","2025-12-29","2025-12-29","true","pago","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:26.78+00","","ENCONTRADO"
"33691","519054060","8312","","Ordem de serviço de nº 8312","ECOLAB QUIMICA LTDA","00536772000142","22435.30","2026-01-23","2026-03-07","2026-03-09","2026-03-09","true","pago","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:29.157+00","","ENCONTRADO"
"33211","521325750","8344","2679 CIGAM","Ordem de serviço de nº 8344 - NF 2679 CIGAM","SODEXO DO BRASIL COMERCIAL S.A. HOCHSHILD","49930514402012","914.32","2025-12-03","2026-03-07","2026-03-13","","false","pendente","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 14:01:07.61+00","","ENCONTRADO"
"33201","521318485","8346","","Ordem de serviço de nº 8346","DSA SERVICOS ADMINISTRATIVOS, HOTELARIA, TURISMO E HOSPEDAGE","","261.90","2025-12-03","2026-03-09","2025-12-17","2025-12-17","true","pago","Transferência Bancária","4984164","Execução de Serviços Aprovados","27867720","OPERAÇÕES COZINHAS","501357","gc_os","2026-03-11 20:01:26.095+00","","ENCONTRADO"
"33213","521329575","8352","","Ordem de serviço de nº 8352","E. HOTELARIA E TURISMO LTDA - WTC 2 PAVIMENTO","","833.00","2025-12-02","2026-03-09","2026-01-06","2025-12-29","true","pago","Boleto Banco Inter - WD","4992833","Vendas de produtos","27867718","COMERCIAL","501356","gc_os","2026-03-11 20:01:26.78+00","","ENCONTRADO"
